Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-10.0,3.546420000000002,0.789480709396602,2.3026858304200015,63.99,-9.4,-10
-10.0,4.661600000000004,0.48353988336416087,2.700805483223249,44.81,-9.1,-10
-10.0,4.893540000000003,0.45296378679913174,2.501994756720091,78.66000000000001,-9.6,-10
-10.0,3.1606000000000014,0.3148484489731341,2.4282947241498416,71.78,-8.4,-10
-10.0,7.251220000000008,0.21038158610752025,3.0471417873717,63.050000000000004,-9.1,-10
-10.0,5.874420000000006,0.2903816081921363,2.6241491988596817,84.65,-9.5,-10
-10.0,4.831800000000003,0.7276465877018335,2.119582005407411,38.33,-10.4,-10
-10.0,4.456900000000004,0.5379951250773839,3.474708527366203,82.61000000000001,-9.6,-10
-10.0,4.8941000000000034,0.35076781874533774,2.3948117030495037,94.82000000000002,-9.5,-10
-10.0,2.7619000000000007,0.5311527346462747,2.18349074569705,103.76,-9.0,-10
-10.0,4.629320000000005,0.31153689811739116,3.709675240265452,89.43,-9.6,-10
-10.0,6.463200000000005,0.34042977468600427,2.607767293558558,58.870000000000005,-10.0,-10
-10.0,2.7675000000000014,0.7014982826498557,3.536769960340001,78.96000000000001,-9.5,-10
-10.0,5.192000000000005,0.3092858922283179,2.7506255254948133,110.73000000000002,-9.1,-10
-10.0,3.892500000000002,0.38967323500301676,2.6374032975789294,93.03,-10.1,-10
-10.0,5.033400000000004,0.39018146947784543,4.153221404362267,79.25,-10.1,-10
-10.0,6.250300000000004,0.34996592394430226,2.4444538196957435,96.45,-8.8,-10
-10.0,2.374499999999999,0.5442880266951554,2.5659191255763876,101.6,-9.4,-10
-10.0,6.729200000000006,0.37007463471036667,1.9570778016643366,25.16,-9.7,-10
-10.0,1.3997799999999998,0.7885788408051211,4.466878304807567,113.83000000000001,-10.0,-10
-10.0,4.508740000000003,0.5974868263080789,2.3376855512427657,63.59,-9.3,-10
-10.0,6.000800000000005,0.36428187305162846,3.739387710074582,38.13,-9.8,-10
-10.0,5.439900000000006,0.3895113564619373,3.5819564180331973,111.21000000000001,-8.9,-10
-10.0,2.4248000000000003,0.5061507733594254,3.2098400232951416,121.03,-9.1,-10
-10.0,4.768400000000003,0.7521300131883858,1.9823637756919208,38.33,-10.0,-10
-10.0,4.685700000000003,0.3267499964231576,2.7601148437732963,105.71999999999997,-10.7,-10
-10.0,4.073700000000002,0.6793882241572053,3.224502352354971,78.61,-10.4,-10
-10.0,4.912840000000003,0.6619029062890538,2.1847243896629376,32.59,-9.4,-10
-10.0,3.442440000000002,0.6967501273909327,3.4733922528040884,90.87,-9.7,-10
-10.0,4.302220000000003,0.4235868626349867,2.1965719209422083,70.14,-9.0,-10
-10.0,4.220600000000003,0.531731990258897,2.2608782923616815,62.750000000000014,-9.0,-10
-10.0,2.4862,0.6479989241716835,3.940586978824328,92.55000000000001,-8.4,-10
-10.0,3.402400000000001,0.4483578411969214,2.7764551344669464,95.45,-9.3,-10
-10.0,7.644000000000005,0.4387523928214808,2.8052972001590053,21.259999999999998,-10.8,-10
-10.0,5.671400000000004,0.26847751743824755,3.3564235135913894,121.07999999999998,-9.2,-10
-10.0,6.257400000000005,0.3089468072869603,3.498735989624593,73.31,-11.0,-10
-10.0,5.166300000000004,0.31608767586444353,2.52844033279119,67.15,-10.4,-10
-10.0,6.720120000000007,0.24852995611184614,3.0494518583190047,82.29,-9.1,-10
-9.0,4.432400000000004,0.6759957326762884,2.771736270500428,67.96000000000001,-8.3,-9
-9.0,4.693200000000004,0.4381358312720005,2.3783914567954874,86.98,-8.8,-9
-9.0,2.7054799999999997,0.6736804188856246,5.110719231610785,123.39000000000001,-9.3,-9
-9.0,4.364100000000004,0.35181004609993893,3.6210661128787915,105.64,-10.0,-9
-9.0,3.9452000000000016,0.5877836213085195,2.144945886224793,70.67,-9.0,-9
-9.0,3.7726200000000016,0.37327253178447795,3.6913944647790258,73.04,-8.3,-9
-9.0,3.8899000000000035,0.376027861239014,3.4261521200383305,124.65,-8.8,-9
-9.0,5.227300000000006,0.402367991746119,2.1749992742411983,71.03,-9.0,-9
-9.0,5.108900000000002,0.2631757790496739,4.438933256706465,87.38,,-9
-9.0,3.7462000000000026,0.8359582436955285,3.5959956719837516,68.54,-9.8,-9
-9.0,2.6447200000000004,0.6032295272671117,2.4880465372807095,81.29,-8.6,-9
-9.0,4.977200000000004,0.6572623034580646,3.244379318519419,23.550000000000004,-9.5,-9
-9.0,5.173040000000005,0.4349559643703444,2.5770160453981195,47.190000000000005,-8.8,-9
-9.0,3.9817000000000027,0.46675459930729757,2.3972619905348953,88.08,-8.6,-9
-9.0,5.570400000000004,0.47128163331856726,2.1155496274035777,47.040000000000006,-8.9,-9
-9.0,5.332220000000005,0.49196080808498205,2.1241415831241994,72.56,-7.2,-9
-9.0,2.8038000000000007,0.4960205102363476,3.2253855543626058,77.04,-9.3,-9
-9.0,4.6934800000000045,0.7075058726324082,2.182026749737634,77.81,-9.0,-9
-9.0,2.0394000000000005,0.5889036509052363,2.6837955885497813,122.56,-8.5,-9
-9.0,4.5299600000000035,0.6070759766539243,3.388436272723273,69.72,-8.3,-9
-9.0,4.609900000000004,0.6284702840381203,2.878175329044158,41.370000000000005,-9.4,-9
-9.0,3.8979000000000026,0.6648170664018357,1.964536967739587,88.16,-8.6,-9
