Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,5.0,6.008380000000006,0.1251104996418552,3.9105641937470494,163.27,-8.7,-9_5
-9.0,5.0,4.792140000000004,0.28442920343991646,3.52125750738188,101.54,-8.9,-9_5
-9.0,5.0,5.453800000000006,0.5914561385484558,3.9162990770001453,53.85,-9.1,-9_5
-9.0,5.0,5.280680000000005,0.4822798794539073,3.13296234191308,73.2,-8.3,-9_5
-9.0,5.0,4.174400000000003,0.42064509571827435,2.1784366654214473,105.12,-8.9,-9_5
-9.0,5.0,4.095920000000003,0.4523447919448325,3.6868289406703108,118.00000000000001,-9.5,-9_5
-9.0,5.0,4.446460000000004,0.7660968384640939,1.9859129913229054,64.11,-9.1,-9_5
-9.0,5.0,4.896320000000005,0.327693451418146,3.218793863346196,102.10000000000001,-9.4,-9_5
-9.0,5.0,5.204140000000004,0.232499633510431,3.229269773927335,151.05999999999997,-9.6,-9_5
-9.0,5.0,4.9348000000000045,0.45600665484718444,3.193962751574592,45.39,-8.4,-9_5
-9.0,5.0,4.872860000000004,0.551612440678652,2.143499052439605,76.66,-8.4,-9_5
-9.0,5.0,4.398100000000004,0.310486791724885,3.156146155535904,85.97000000000001,-9.4,-9_5
-9.0,5.0,5.095400000000004,0.28063552882381054,2.6878792814090033,126.53,-9.4,-9_5
-9.0,5.0,4.411070000000005,0.2997291441855039,3.1494725056229873,87.92,-8.6,-9_5
-9.0,5.0,4.824320000000004,0.48767308900203005,2.2067747202328913,52.33,-8.7,-9_5
-9.0,5.0,4.502100000000003,0.3854043209418404,2.1400292007044186,82.21000000000001,-8.8,-9_5
-9.0,5.0,4.490720000000003,0.7286033912102766,2.432103435609168,44.89,-8.8,-9_5
-9.0,5.0,5.857140000000006,0.37344124403660917,2.741292600377447,56.74,-9.0,-9_5
-9.0,5.0,4.470400000000003,0.5240995562516311,2.1648454863180255,44.81,-8.4,-9_5
-9.0,5.0,4.734900000000003,0.6956706889854127,2.370048454535196,64.11,-8.6,-9_5
-9.0,5.0,5.177960000000003,0.6701743573530067,1.873978277661763,58.2,-9.2,-9_5
-9.0,5.0,5.002420000000004,0.4056710017466053,2.969834593785217,96.61000000000001,-8.9,-9_5
-9.0,5.0,5.589840000000005,0.5574434996216603,2.6306483313807245,64.36000000000001,-8.6,-9_5
-9.0,5.0,4.586700000000002,0.3805328445009832,2.8800274960889816,68.92,-9.3,-9_5
-9.0,5.0,4.854700000000002,0.7143612685916974,2.6605685541191715,42.6,-8.0,-9_5
-9.0,5.0,5.126160000000005,0.5839470799402249,2.2591401024973745,67.60000000000001,-9.0,-9_5
-9.0,5.0,4.614320000000004,0.7782431507929095,3.1960891048482765,86.87,-7.7,-9_5
-9.0,5.0,4.800140000000003,0.35150922490113823,2.4367091991947714,80.89,-8.1,-9_5
-9.0,5.0,4.482810000000001,0.1636897009559542,3.3978768699619426,169.95,-10.6,-9_5
-9.0,5.0,4.4006000000000025,0.33037111525570423,2.222659671772158,139.77,-8.7,-9_5
-9.0,5.0,4.590040000000005,0.6864223010034584,2.8863503710114955,68.2,-8.8,-9_5
-9.0,5.0,4.857640000000003,0.3916125880495381,2.5427660370875014,42.85,-8.4,-9_5
-9.0,5.0,5.942600000000006,0.6361670851778903,2.326245207070613,23.47,-8.6,-9_5
-9.0,5.0,5.022820000000004,0.63571015139377,2.9847909220320474,92.42999999999999,-9.0,-9_5
-9.0,5.0,4.526420000000004,0.6399348208058626,3.3404423036908852,44.120000000000005,-8.0,-9_5
-9.0,5.0,5.1306600000000016,0.6542613994794809,2.7516620283695232,49.93,-9.4,-9_5
-9.0,5.0,4.975500000000003,0.4645932345368532,1.93065374681761,68.28999999999999,-9.4,-9_5
-9.0,5.0,5.121000000000004,0.468896904373653,2.5212760034158155,66.71,-9.3,-9_5
-9.0,5.0,4.697800000000003,0.4033918231277772,2.6778922640283636,93.75999999999999,-10.6,-9_5
-9.0,5.0,5.7144000000000075,0.41829899150952393,5.884095685432849,112.60000000000001,-8.9,-9_5
-9.0,5.0,4.799370000000004,0.36255845879649284,3.6819574621520657,97.87,-9.7,-9_5
-9.0,5.0,5.216420000000005,0.45087255363436884,2.4515520552507475,33.95,-8.9,-9_5
-9.0,5.0,4.3362200000000035,0.3722481293421089,2.2978753434351624,108.28999999999999,-9.3,-9_5
-9.0,5.0,4.812840000000004,0.6392704514047888,2.5091334118252107,75.6,-10.4,-9_5
-9.0,5.0,4.963100000000003,0.5846199835044787,1.6285057971559667,55.4,-8.6,-9_5
-9.0,5.0,4.917500000000004,0.5597117983076444,1.8240646542988266,47.040000000000006,-8.7,-9_5
-9.0,5.0,4.3875800000000025,0.8486403885347036,3.2614193663154465,45.05,-8.6,-9_5
