Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,3.825400000000003,0.49903818336746936,2.234797014469601,113.76,-9.0,-9.0
-9.0,4.112000000000002,0.4376511540206596,2.3134154213257023,118.13,-8.8,-9.0
-9.0,5.530600000000003,0.5883079296829027,3.886583652609902,19.03,-9.4,-9.0
-9.0,3.7946000000000026,0.425883996467749,2.9682294604470325,101.30999999999999,-8.8,-9.0
-9.0,2.725200000000001,0.5777729697665909,2.7914591754600586,79.02000000000001,-8.5,-9.0
-9.0,4.713400000000005,0.4209467914343336,2.4377477350199808,82.55000000000001,-9.1,-9.0
-9.0,3.7135000000000016,0.5854213881901318,2.560752509968445,101.32000000000002,-8.9,-9.0
-9.0,1.6241699999999994,0.30013366482929643,2.794204819319013,133.35000000000002,-8.0,-9.0
-9.0,3.1774000000000013,0.30706067182016555,2.604057749776832,137.31000000000003,-8.8,-9.0
-9.0,3.4850800000000026,0.7429021940445846,2.473202901516471,99.06,-8.2,-9.0
-9.0,6.869800000000006,0.3026720369852585,3.473541080415581,55.120000000000005,-8.1,-9.0
-9.0,3.754540000000002,0.5239663580471373,2.1493327739969317,50.080000000000005,-8.9,-9.0
-9.0,4.228700000000003,0.27046622106310064,2.5769932778392306,158.00000000000003,-8.8,-9.0
-9.0,2.15472,0.7342775722542144,3.4722266538900532,73.28,-8.4,-9.0
-9.0,2.8318000000000003,0.3598250934113649,2.4689496180012043,131.85999999999999,-8.9,-9.0
-9.0,7.021120000000004,0.34744470300553126,2.001775571199728,58.199999999999996,-8.6,-9.0
-9.0,4.174000000000002,0.5269285429810345,2.660239889249082,93.14000000000001,-8.0,-9.0
-9.0,3.4083000000000014,0.475539558684468,4.030950334769754,139.98000000000002,-9.2,-9.0
-9.0,4.0938000000000025,0.24813241974356365,3.1522349349650334,142.86,-9.5,-9.0
-9.0,2.2868999999999997,0.20474199430449924,3.0969924960046633,153.54,-9.1,-9.0
-9.0,3.988400000000002,0.2501460513897826,2.6849188424756605,120.07000000000002,-9.4,-9.0
-9.0,2.3293999999999997,0.6916366703930609,2.1675831791671936,93.52999999999999,-9.1,-9.0
-9.0,3.8969200000000024,0.27797267099206147,2.6806586467767684,157.32999999999998,-9.3,-9.0
-9.0,3.372720000000002,0.6968316318645699,3.3400363295970923,95.63999999999999,-9.8,-9.0
-9.0,3.664300000000001,0.5704226641193745,2.7461504064579962,55.34,-8.6,-9.0
-9.0,6.022200000000007,0.5585763822987581,4.6440754939812185,75.35,-10.2,-9.0
-9.0,3.329200000000002,0.2565230772209813,2.6001982597247615,97.63000000000001,-8.9,-9.0
-9.0,5.479820000000004,0.544045660111846,2.9455309671614494,72.56,-9.9,-9.0
-9.0,5.409100000000002,0.6441645421540173,2.951711169374633,24.92,-9.0,-9.0
-9.0,3.4420400000000013,0.5693532488366013,3.2383010353740316,111.02999999999999,-9.4,-9.0
-9.0,5.177720000000002,0.4959604196377532,2.676056853979011,67.66,-9.6,-9.0
-9.0,2.333,0.6861335298540497,3.3960779057434767,95.47,-8.7,-9.0
-9.0,6.897100000000009,0.3099849182815722,4.955637968475044,40.46,-8.5,-9.0
-9.0,4.321600000000002,0.3293919302468063,2.5464082322361534,123.83,-8.9,-9.0
-9.0,2.7381,0.6155092517363226,4.733023218145275,98.74000000000001,-8.4,-9.0
-9.0,5.820200000000003,0.2834305390026037,3.135721747756781,90.97999999999999,-9.3,-9.0
-9.0,4.587920000000002,0.5887717231609348,2.301633453340603,42.22,-9.6,-9.0
-9.0,2.0574999999999997,0.6111301809051,3.154087198444371,104.81,-9.2,-9.0
-9.0,5.249440000000005,0.39655824033950204,2.4828256433098144,72.6,-9.6,-9.0
-9.0,3.6762000000000015,0.6180137878564973,2.3076345870723216,80.91000000000001,-8.8,-9.0
-9.0,3.8995000000000024,0.4939172484946932,3.0278425211153284,91.34,-9.0,-9.0
-9.0,3.6175000000000006,0.2206156475701958,2.4931853914606563,183.49999999999997,-9.2,-9.0
-9.0,5.195700000000005,0.5265186521739434,3.0883268503148527,56.710000000000015,-8.7,-9.0
-9.0,4.077900000000003,0.8197739185802466,3.258661996568658,29.54,-9.8,-9.0
-9.0,8.480200000000005,0.2763623490329427,3.8115090787911408,71.03,-9.7,-9.0
-9.0,4.966900000000004,0.41906829657130146,3.192118062019624,66.91,-9.7,-9.0
-9.0,5.216800000000004,0.1894479400042189,4.814227239279521,151.65,-9.4,-9.0
-9.0,2.2033000000000005,0.5142280145710302,4.983129888578638,98.90000000000002,-9.2,-9.0
-9.0,3.239740000000002,0.8116450636930758,2.2052571040850193,50.52,-8.0,-9.0
-9.0,2.7532999999999994,0.6954280833814147,2.8481216039391164,83.80000000000001,-9.2,-9.0
-9.0,5.615100000000004,0.29957825958594386,2.28206749138379,69.81,-8.9,-9.0
-9.0,3.9251000000000014,0.6177099284509958,2.3360693144621276,94.19,-9.0,-9.0
-9.0,3.2650000000000015,0.31832051775428355,2.5751015279312846,138.66,-9.0,-9.0
-9.0,2.6932,0.7955597374612206,3.797507453274089,88.24,-7.5,-9.0
-9.0,5.469700000000004,0.45345125451428886,2.3374104321677045,44.81,-9.0,-9.0
-9.0,3.655400000000002,0.6934560792372653,3.4381510406145033,56.51,-8.8,-9.0
-9.0,3.3401000000000023,0.4701192486471968,2.1375006433098154,23.550000000000004,-8.6,-9.0
-9.0,3.715200000000003,0.5356445405510996,2.6076422579781546,93.22000000000001,-9.0,-9.0
-9.0,6.181500000000007,0.23947340029036066,2.520906174087843,90.31,-9.6,-9.0
-9.0,5.331600000000005,0.5640925876910191,2.1300116248179286,22.270000000000003,-8.6,-9.0
-9.0,6.340600000000006,0.3064816438551194,2.858970021542774,44.290000000000006,-9.7,-9.0
-9.0,4.089440000000003,0.4731123313644518,4.456057054857799,74.97,-9.6,-9.0
-9.0,4.229500000000003,0.5423989742424747,2.812067140975893,64.49000000000001,-10.3,-9.0
-9.0,3.621400000000002,0.5149982296260062,3.5218861762653297,76.27000000000001,-9.2,-9.0
-9.0,3.7005000000000026,0.4689724095508359,2.5571633394149273,90.03,-8.9,-9.0
-9.0,5.191690000000004,0.20779850687119822,2.988590044636055,106.02,-8.6,-9.0
-9.0,1.6936199999999997,0.5738551686104936,3.2804881373528154,115.56,-9.6,-9.0
-9.0,2.4743000000000004,0.5108835498852322,2.927707601250866,97.53999999999999,-9.2,-9.0
